Scenario ID,Interview Phase,Timestamp,Scenario Summary,Scenario,Current Solution (if any),Desired Solution (if any)
P1-1,Interview 1,14:57,outdoor trail running,"P1 wanted to run down a paved trail through the forest. The trail periodically has roads that cross it, and there are barriers on the trail by each crossing so that cars don't drive into it. P1 wanted to run down the trail using the rolling ball attatchment for their white cane, but they were afraid of bumping into the barriers.","P1 used the marker feature in Soundscape. They first walked along the trail, and set a marker whenever they reached the gates. Then, P1 ran along the trail, and Soundscape could alert them when they were in a certain proximity to the gates. They could then slow down and walk to avoid bumping into gates. This gave them a peace of mind for running independently on the trail.","P1 would like to customize the alert threshold for each marker in Soundscape, for example, setting Soundscape to specifically alert them 30 feet before the marker. However, they doubt that this would work because of the GPS accuracy. P1 also would like to use a Siri command to be able to set markers, instead of having to manually set a marker from within the app."
P1-2,Interview 1,24:13:00,navigating college campus,P1 was navigating to a gym on a college campus. The gym was located near a wide open area and it was difficult to find the path to the door.,"P1 tried to use the marker feature of Soundscape to mark the entrance to the gym. However, the audio beacon did not work as expected, and they had difficulty passing the wide open area in front of the gym. P1 found that because of the GPS accuracy range (which is 30 or 50 feet), they couldn't tell exactly where to go. Additionally, P1 has had issues in the past with Soundscape's spatial audio feature mistakenly playing audio from the wrong direction, which is confusing. Given the accuracy range, P1 wouldn't use Soundscape for things that require them to identify the precise direction to travel in. Instead, they would use their own navigation skills, follow someone, or ask someone for directions.",
P1-3,Interview 1,31:03:00,reading and using a thermostat,P1 has a thermostat with a small black and white LED display. They want to read the screen of the display to know the current indoor tempurature so that they can then use the physical buttons on the thermostat to increase or decrease the tempurature.,"P1 tries to use Seeing AI to read the thermostat display, but most of the time it fails, presumably because of the blocky text and also the glare on the display. P1 tries to use Seeing AI from different angles or in different lighting conditions, which occasionally works.",
P1-4,Interview 1,33:34:00,sorting and reading mail,"P1 uses Seeing AI to sort and read mail. They want to quickly get a sense of what is on the outside of the envelope, in order to determine if they should open it or throw it away.","Initially, they used the 'short text' channel to quickly read the outside of the envelope, but they found it hard to understand the order of the text. They also are frustrated by Seeing AI repeating itself or changing the text that's read if they accidentally move their hands slightly. For this reason, they find it easier to use the 'document' channel for both the outside of envelopes and the letters inside.","P1 is frustrated that Seeing AI repeats text, jumps around, or reads different areas of text at once. They want a way to pause for a while while it reads, to allow them to focus on what they are listening to."
P1-5,Interview 1,33:34:00,reading product labels,"P1 wants to read labels on products, for example, cans or boxes.","P1 occasionally uses the Seeing AI 'document' channel to read text that is not on a paper document. Instead, they take a picture of the object that they wish to read, and ignore the warning from Seeing AI that says 'cannot find edges'. They find this yeilds better results than using the 'short text' channel.",
P1-6,Interview 1,40:45:00,detect color,,"P1 does not trust the color detection feature in Seeing AI, because it can give varying results for the same object.",
P1-7,Interview 1,44:15:00,check calendars and routines,"P1 wants to quickly access their mail, calendar, and reminders, which are on different platforms: GMail, Google Calendar, and Microsoft Reminders.","P1 is now able to set default platforms for mail, calendar, and reminder services on iOS, so they customized this. They then use Siri or other voice assistants to access the information.",
P1-8,Interview 1,47:20:00,play music from library,P1 wants to play music from an artist that they have saved to their library.,"P1 asks Siri to 'play Michael Jackson on Spotify', and it plays all Michael Jackson songs without considering which songs they have previously saved.",Play music from an artist while considering the songs that the user has already saved or liked.
P1-9,Interview 1,47:20:00,interact with voice assistants,,,P1 wants to customize the commands for their voice assistant so that they can say things in a more succinct way.
P1-10,Interview 1,51:53:00,check outfit,P1 wants to check the color of their clothes.,P1 calls AIRA to ask about their outfit.,
P1-11,Interview 1,51:53:00,search for products on Amazon,P1 wants to find a product on Amazon. The products (step stools) have different form factors and physical shapes. P1 wants to find out which one fits their needs.,"P1 calls AIRA to ask for help finding a specific product. They described what they wanted to the agent, and the agent described properties of the product back, like how tall they were, whether they were bulky or not, etc. Because of the qualitative and subjective nature of this task, it took some time and back-and-forth communication to get right. P1 ended up with 4-5 links for product options.",
P1-12,Interview 1,52:30:00,navigate a store,P1 wanted to find the pharmacy inside of a grocery store.,P1 called AIRA and they help them find the pharmacy.,
P1-13,Interview 1,53:06:00,call and locate an Uber in the rain,P1 left a doctors appointment and it was raining. They didn't know where to go for shelter from the rain. They also wanted to call an Uber and then find it safely.,"P1 called AIRA and they helped them locate a spot safe from the rain. The AIRA agent also helped them call an Uber. The AIRA agent saw when the Uber came into the parking lot, and they asked P1 to hold their phone up to view the parking lot. The agent saw the black car, and directed P1 to the sidewalk. The agent told P1 to raise their hand, and the Uber driver stopped in front of them.",
P1-14,Interview 1,58:31:00,navigate to a restaurant in a new location,P1 was in an outdoor shopping plaza filled with different stores with their wife. They wanted to navigate to a restauraunt.,"P1 tried using Google Maps to get walking directions to the restauraunt, but it failed because of the type of shopping plaza that they were in. P1 then switched to Nearby Explorer because it could locate things that were close to them.",
P1-15,Interview 1,59:50:00,use an instant pot,P1 wanted to read the display on their smart instant pot.,"P1 called AIRA to have them read the display because it is more accurate. While Seeing AI is free and they don't have to wait, it is less intelligent.","In interview 2, P1 mentions that a hand mounted camera for reading the text on the appliance could be useful. The text could be read out loud through their Google Home."
P1-16,Interview 1,1:02:31,find and scan barcodes on products,"P1 wants to scan the barcode on products like spices, that all have very similarly shaped containers.","P1 sometimes uses Seeing AI or other apps to try to scan the barcodes of product. However, they have a hard time aiming their phone at the object while also turning it around in their hand.","P1 thinks that more 'natural' hardware would be helpful in these scenarios. For example, if they could have a ring or fingertip device that reads whatever they put their finger on; or a pair of glasses that could track their gaze and read them whatever they are looking at. P1 thinks this is better and more efficient than aiming the phone's camera."
P1-17,Interview 1,1:02:31,find expiration dates on products,P1 wants to find the expiration date on a product like a coffee package.,,"P1 wants a way to only search for a specific piece of information, instead of having Seeing AI read everything aloud and then having to manually sort through it in their head. For example, P1 could verbally tell Seeing AI to find the expiration date, or find the shipping address, and ignore everything else."
P1-18,Interview 1,1:14:04,use a touchscreen center console display in a car,"P1 wants to control things in the car while their wife is driving, for example, switching the audio source from bluetooth to USB.",,"P1 wants something that can tell them where their fingertips are in relation to labels on the screen. Something would track their fingers and tell them where they are pointing, because they cannot ask their wife for help in this scenario."
P1-19,Interview 1,1:16:39,find desired items in a grocery store,"For example, P1 wants to find a shampoo with a specific scent.",,"P1 describes a wearable device that can connect to NFC tags embedded in products. When they touch a product, it could read aloud information about it through their headphones."
P1-20,Interview 2,1:50,find a model number on a vacuum cleaner,"P1 wanted to order a replacement part for a vacuum cleaner. They first needed to find the model number in order to search for the replacement part. First, they needed to figure out where the model number was (if it was on a sticker or engraved somewhere), and then they needed to figure out if there was a seperate model number for the specific part they wanted to replace.","P1 evenrually located a large label attatched to the vacuum and tried to use Seeing AI to read the text printed on it. However, this was difficult because of the round shape of the vacuum. Because the vacuum was older, the text on the label was also faded. They also found it difficult to hold the phone in their hand while also rotating the vacuum cleaner.","P1 highlighted that Seeing AI does not have the necessary affordances to handle this type of situation. They said that if they had the power, they would fight for policies for manufacturers to make QR codes standard on purchasable goods."
P1-21,Interview 2,13:50,identify charge level of an electric shaver,"P1 has an electric shaver that has a small display on it to show the charge level. When turning the shaver off, if the battery is less than 10%, the shaver will beep three or four times.",,"If P1 holds down the power button for five seconds, the device could beep to indicate the charge level, for example, it could beep three times to indicate 75% charge. P1 highlights that the hardware to accomplish this is already embedded in the device."
P1-22,Interview 2,21:24,take a quick voice memo,"P1 made an iOS shortcut to open the voice recorder app and start recording when they double tap on the back of the device. They noted that creating this shortcut, even as a tech-savvy person, was difficult and hard to understand.",,
P1-23,Interview 2,25:19:00,create routines on a voice assistant,P1 wants to use a voice assistant like Google Home to take notes and save them to a specific folder.,"P1 can use Google Home to take voice memos, they are saved by default to the notes section of the Google account",P1 wants to create different routines that change how notes are saved and transcribed.
P1-24,Interview 2,27:09:00,"control center console in a car (air conditioning, music)","P1 wants to control things in a car while their wife is driving. For example, control the air conditioning or music.",,P1 imagines being able to control things in the car directly from a companion app on their smartphone. This would be similar to smart appliances in the home that provide companion bluetooth applications.
P1-25,Interview 2,39:30:00,measure oil or spices while cooking,P1 wants to understand how much oil they are putting into a pot while cooking.,,"P1 imagines a device on the bottle of oil that would beep periodically for every teaspoon of oil that's poured. They note that this would be useful to other populations, not just blind people."
P1-26,Interview 2,43:00:00,use Google Maps,P1 wants to use Google Maps efficiently to navigate.,,P1 imagines customizing the homepage of the Google Maps application so that they don't see things like food options when they are trying to navigate. In this way there would be less clutter in the application.
P1-27,Interview 2,56:51:00,use/ fix a printer,"P1 has a printer that has LED lights, physical buttons, and a small screen.",,"P1 imagines an app that allows them to take a picture of the printer, send the image to a crowd source component to identify which lights are on and which icons are on the screen, and then reads the output out loud. AI could be used instead of crowd workers, depending on the capability."
P2-1,Interview 1,15:53,search for a type of business,P2 wanted to find a place for their child to take music lessons.,"P2 used Good Maps Outdoors to search for music stores. They got a list of stores, including how far they were and how to get there.",
P2-2,Interview 1,"19:03, 1:01:06",cross streets,"When navigating through an intersection where they need to cross the street twice, P2 sometimes doesn't know which way they can cross first.","P2 uses Good Maps Outdoors to find the push buttons when crossing the road. P2 would listen carefully to the traffic to tell from which direction the traffic is coming or going. However, when there are two lanes, it's hard for them to tell the traffic on the more distant lane.","The app could tell them how they can cross the crossroad safely, by pointing out which side of the road or direction they should walk. The app could use online traffic signal data to figure out when a walk sign is on. It could combine this data with information from the camera and microphone. Any additions should be directly integrated with their current mapping application."
P2-3,Interview 1,24:02,follow directions while navigating,P2 needs to know how far they should walk until they should turn.,"P2 uses Good Maps Outdoors. They tried using Google Maps, but it doesn't tell them how many more steps to take, or give them clockwise directions (i.e., turn left 9 o'clock)",
P2-4,Interview 1,"28:09, 32:00",sort meals/ products,"P2 wants to know whether meals are for themselves, their spouse, or their son.","P2 used Seeing AI to read product labels. They note that holding the phone to capture the text well is difficult (their hands move, they don't know where to point).","Seeing AI could give out instructions like ""move your camera higher/ lower/ closer"" when it detects camera is not positioned correctly. P2 notes that KNFB reader used to do something like this."
P2-5,Interview 1,"29:33, 42:28, 1:08:36",play with family members,"P2 wants to play games with their kids, like hide and seek, or guessing the mucisian of a song.","P2 used Seeing AI personal recognition channel to recognize kids and have fun when the age detection gives out incorrect ages. Their 7-year-old child was said to be 13.
P2 used Alexa to play a ""guess the musician"" game. They let Alexa play a song and guessed the musician with their kids.","P2 also wanted more ways to enrich their life, like playing with their kids outdoors or playing soccer. They used to have a ball that would make a lot of sound when being kicked. It would be good to develop some apps or games so that one could play with friends or family members. 
""It would gives you another way to integrate with other, with the society... When others are playing with your kid or whenever others are playing with each other, you are not sitting on the sidelines."""
